Age,Gender,Marriage Status,No of People Living in Family,State,Employment Status,No_Employees,Cluster_KModes
59,Male,Married,4,Dadra and Nagar Haveli and Daman and Diu,Unemployed,10-50,0
39,Male,Other,10,Manipur,Employed(Government),500-1000,0
77,Female,Single,6,Sikkim,Retired,1000+,1
40,Male,Married,4,Ladakh,Student,10-50,0
24,Male,Married,6,Chandigarh,Employed(Private),100-500,3
70,Female,Married,4,Nagaland,Student,500-1000,2
22,Female,Married,4,Mizoram,Retired,50-100,0
57,Female,Single,6,Puducherry,Unemployed,10-50,2
67,Male,Married,10,Madhya Pradesh,Employed(Government),100-500,1
18,Female,Other,7,Nagaland,Student,10-50,1
42,Male,Single,4,Sikkim,Retired,0-10,0
48,Male,Single,1,Uttar Pradesh,Retired,500-1000,1
27,Female,Married,4,Karnataka,Employed(Private),100-500,0
79,Male,Married,6,Tamil Nadu,Employed(Government),1000+,0
48,Male,Other,5,Nagaland,Unemployed,10-50,2
30,Male,Other,2,Bihar,Unemployed,0-10,0
45,Male,Single,1,Dadra and Nagar Haveli and Daman and Diu,Student,100-500,1
79,Female,Other,8,Rajasthan,Employed(Government),50-100,3
36,Male,Single,8,Mizoram,Retired,10-50,3
42,Male,Single,6,Ladakh,Retired,10-50,3
51,Male,Other,8,Haryana,Retired,10-50,1
41,Male,Other,10,Maharashtra,Retired,100-500,1
69,Female,Married,5,Jharkhand,Unemployed,500-1000,0
74,Female,Single,8,Kerala,Employed(Private),500-1000,0
70,Female,Other,4,Bihar,Retired,100-500,2
27,Female,Single,3,Rajasthan,Employed(Government),500-1000,0
74,Male,Single,6,Himachal Pradesh,Unemployed,0-10,0
27,Male,Single,8,Karnataka,Employed(Private),100-500,1
49,Male,Other,2,Puducherry,Employed(Private),0-10,2
71,Male,Other,5,Gujarat,Employed(Government),0-10,0
35,Female,Single,3,Chhattisgarh,Employed(Private),50-100,2
64,Female,Single,8,Maharashtra,Retired,0-10,0
67,Female,Other,3,Assam,Unemployed,100-500,2
46,Male,Other,10,Kerala,Retired,50-100,0
69,Female,Single,8,Odisha,Retired,500-1000,3
55,Male,Single,9,Mizoram,Employed(Private),10-50,3
47,Female,Other,3,Uttar Pradesh,Employed(Government),10-50,1
41,Male,Single,5,Uttarakhand,Unemployed,500-1000,0
74,Male,Single,3,Bihar,Student,100-500,0
55,Female,Married,1,Lakshadweep,Student,100-500,0
73,Male,Married,8,Andhra Pradesh,Retired,100-500,1
30,Female,Other,9,Assam,Retired,0-10,2
33,Female,Other,5,Dadra and Nagar Haveli and Daman and Diu,Student,500-1000,3
32,Male,Married,1,Jharkhand,Student,500-1000,3
26,Male,Married,1,Sikkim,Retired,50-100,3
21,Female,Single,10,Puducherry,Retired,1000+,2
45,Male,Single,5,Tripura,Employed(Private),1000+,0
65,Male,Other,8,Dadra and Nagar Haveli and Daman and Diu,Employed(Private),500-1000,3
63,Male,Single,5,Kerala,Employed(Government),500-1000,1
25,Male,Single,4,Uttar Pradesh,Employed(Government),100-500,3
36,Female,Other,9,Goa,Retired,50-100,3
59,Male,Single,9,Puducherry,Student,100-500,1
24,Female,Single,5,Nagaland,Student,0-10,1
34,Male,Other,4,Uttar Pradesh,Student,100-500,1
59,Male,Other,1,Bihar,Unemployed,1000+,3
68,Male,Single,10,West Bengal,Employed(Government),50-100,0
74,Male,Single,5,Nagaland,Retired,100-500,3
19,Female,Single,9,Delhi,Employed(Government),10-50,2
58,Male,Single,6,Punjab,Student,10-50,1
76,Female,Married,7,Telangana,Student,10-50,3
68,Male,Married,6,Tamil Nadu,Retired,500-1000,3
51,Male,Single,7,Tripura,Employed(Government),50-100,1
37,Female,Other,10,Dadra and Nagar Haveli and Daman and Diu,Student,100-500,0
75,Male,Other,8,Madhya Pradesh,Employed(Private),500-1000,2
21,Male,Married,8,Bihar,Employed(Government),0-10,1
31,Female,Other,8,Jharkhand,Student,1000+,2
40,Male,Other,10,Gujarat,Employed(Private),50-100,1
79,Female,Other,1,Andaman and Nicobar Islands,Retired,500-1000,0
26,Female,Married,5,Tripura,Unemployed,0-10,0
74,Male,Other,1,Andaman and Nicobar Islands,Student,100-500,0
63,Female,Single,6,Arunachal Pradesh,Student,1000+,0
61,Male,Other,9,Arunachal Pradesh,Retired,500-1000,0
75,Female,Single,7,Arunachal Pradesh,Employed(Private),1000+,1
49,Male,Single,3,Jammu and Kashmir,Unemployed,0-10,1
67,Female,Married,1,Meghalaya,Employed(Private),500-1000,1
62,Female,Single,5,Goa,Unemployed,500-1000,0
45,Female,Single,9,Nagaland,Retired,0-10,3
29,Female,Married,7,Himachal Pradesh,Employed(Private),10-50,1
70,Female,Other,9,Haryana,Unemployed,50-100,0
45,Male,Single,6,Ladakh,Retired,0-10,1
19,Male,Single,2,Puducherry,Retired,100-500,0
34,Male,Married,6,Mizoram,Retired,1000+,0
78,Female,Married,8,Arunachal Pradesh,Student,500-1000,0
53,Male,Other,2,Kerala,Employed(Private),1000+,0
71,Male,Other,9,Kerala,Employed(Private),10-50,3
53,Male,Single,2,Tripura,Employed(Government),100-500,1
37,Female,Single,4,Meghalaya,Employed(Government),1000+,1
74,Male,Married,9,Meghalaya,Employed(Private),500-1000,2
36,Male,Single,7,Chandigarh,Employed(Private),50-100,0
47,Female,Married,10,Uttar Pradesh,Employed(Private),500-1000,2
20,Female,Married,2,Tripura,Employed(Private),0-10,2
32,Male,Other,5,Odisha,Retired,1000+,2
68,Female,Married,4,Bihar,Employed(Government),0-10,3
51,Female,Other,6,Karnataka,Unemployed,0-10,1
46,Male,Other,8,Odisha,Retired,100-500,0
25,Female,Married,5,Kerala,Retired,1000+,3
39,Male,Single,9,Bihar,Retired,10-50,0
71,Female,Single,8,Arunachal Pradesh,Retired,100-500,0
38,Female,Other,2,Tamil Nadu,Employed(Government),50-100,0
59,Female,Other,7,Karnataka,Retired,500-1000,3
74,Female,Single,3,Rajasthan,Retired,50-100,3
52,Male,Other,2,Jammu and Kashmir,Employed(Private),50-100,1
73,Female,Married,7,Punjab,Unemployed,10-50,1
65,Male,Married,5,Karnataka,Employed(Government),50-100,1
53,Female,Other,10,Andaman and Nicobar Islands,Employed(Private),10-50,2
67,Male,Other,1,Himachal Pradesh,Employed(Government),500-1000,0
64,Male,Other,9,Jharkhand,Student,10-50,2
53,Male,Single,1,Ladakh,Employed(Government),100-500,0
21,Male,Married,2,Nagaland,Student,100-500,1
67,Female,Married,4,Goa,Unemployed,50-100,1
67,Male,Married,8,Rajasthan,Student,1000+,3
46,Male,Married,6,Sikkim,Employed(Private),50-100,0
31,Male,Single,3,Sikkim,Employed(Private),0-10,2
58,Female,Married,4,Dadra and Nagar Haveli and Daman and Diu,Employed(Private),10-50,2
24,Female,Married,8,Jharkhand,Employed(Private),100-500,1
48,Male,Single,5,Manipur,Employed(Private),100-500,0
72,Female,Single,5,Punjab,Employed(Private),100-500,1
40,Male,Married,10,Goa,Student,50-100,2
65,Male,Single,4,Mizoram,Employed(Private),0-10,0
32,Female,Single,4,Madhya Pradesh,Employed(Private),500-1000,1
54,Female,Single,8,Puducherry,Unemployed,50-100,0
48,Male,Single,7,Uttar Pradesh,Employed(Government),500-1000,3
70,Female,Other,8,Mizoram,Employed(Private),50-100,0
46,Male,Other,10,Lakshadweep,Retired,10-50,1
28,Female,Single,10,Sikkim,Retired,1000+,1
72,Female,Single,6,Odisha,Student,1000+,2
18,Male,Married,6,Goa,Student,10-50,2
46,Male,Married,9,Madhya Pradesh,Employed(Government),10-50,0
73,Female,Married,9,Arunachal Pradesh,Retired,0-10,3
74,Female,Married,5,Dadra and Nagar Haveli and Daman and Diu,Student,100-500,1
70,Female,Single,1,Kerala,Retired,10-50,2
37,Male,Married,2,Kerala,Unemployed,500-1000,1
26,Female,Other,6,Dadra and Nagar Haveli and Daman and Diu,Employed(Private),100-500,2
46,Female,Other,6,Manipur,Employed(Private),10-50,0
19,Female,Single,4,Andhra Pradesh,Retired,50-100,1
52,Female,Married,8,Mizoram,Employed(Private),100-500,1
22,Male,Single,10,Kerala,Student,100-500,1
57,Female,Married,9,Uttar Pradesh,Student,100-500,2
53,Female,Single,8,Manipur,Retired,10-50,1
65,Male,Single,3,Karnataka,Unemployed,50-100,2
69,Male,Other,2,Uttarakhand,Employed(Government),10-50,1
39,Female,Married,1,Dadra and Nagar Haveli and Daman and Diu,Retired,50-100,1
78,Female,Single,2,Tripura,Employed(Private),1000+,1
34,Female,Married,3,Ladakh,Student,0-10,0
75,Female,Married,4,Maharashtra,Student,50-100,1
79,Female,Other,8,Lakshadweep,Employed(Government),10-50,1
76,Male,Married,2,Jammu and Kashmir,Student,1000+,0
78,Male,Other,3,Manipur,Retired,100-500,0
72,Female,Other,3,Assam,Retired,500-1000,1
36,Male,Married,5,Dadra and Nagar Haveli and Daman and Diu,Employed(Private),100-500,1
25,Female,Married,2,Lakshadweep,Employed(Government),1000+,0
33,Male,Single,1,Jammu and Kashmir,Unemployed,10-50,2
53,Male,Other,1,Maharashtra,Unemployed,50-100,0
65,Female,Single,4,Chandigarh,Student,0-10,1
54,Female,Single,7,Goa,Employed(Private),10-50,2
70,Female,Other,1,Uttarakhand,Student,1000+,2
19,Female,Married,7,Karnataka,Student,100-500,0
35,Male,Married,8,Assam,Unemployed,1000+,3
38,Male,Married,1,Jammu and Kashmir,Student,1000+,2
67,Female,Married,7,Assam,Employed(Private),0-10,2
30,Male,Other,9,Punjab,Student,1000+,0
62,Male,Married,8,Lakshadweep,Employed(Government),0-10,3
54,Male,Other,6,Chhattisgarh,Employed(Government),0-10,2
34,Female,Single,9,Jammu and Kashmir,Employed(Government),0-10,3
44,Male,Married,7,Kerala,Employed(Private),1000+,1
74,Male,Married,5,Rajasthan,Employed(Private),50-100,0
79,Male,Married,8,Gujarat,Employed(Private),10-50,2
29,Male,Other,2,Telangana,Retired,0-10,2
31,Female,Single,10,Puducherry,Retired,100-500,0
45,Male,Single,1,Mizoram,Unemployed,1000+,0
37,Male,Other,1,Rajasthan,Retired,50-100,0
68,Female,Other,4,Chandigarh,Retired,500-1000,0
59,Male,Single,1,Uttar Pradesh,Retired,100-500,0
24,Male,Other,7,Delhi,Unemployed,0-10,2
18,Female,Single,9,Mizoram,Retired,50-100,3
71,Female,Married,3,Nagaland,Student,500-1000,0
57,Male,Other,6,Delhi,Student,50-100,3
75,Female,Married,6,Jammu and Kashmir,Employed(Government),50-100,2
37,Female,Other,7,Punjab,Unemployed,10-50,0
38,Female,Single,4,Lakshadweep,Retired,50-100,0
62,Female,Other,10,Jharkhand,Employed(Private),50-100,2
50,Male,Married,2,Goa,Student,500-1000,0
47,Female,Married,4,Uttar Pradesh,Unemployed,1000+,2
64,Male,Single,9,Meghalaya,Employed(Private),1000+,1
75,Male,Married,1,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),50-100,2
36,Male,Other,4,Puducherry,Unemployed,0-10,2
80,Female,Other,9,Dadra and Nagar Haveli and Daman and Diu,Unemployed,50-100,1
18,Male,Married,5,Punjab,Student,10-50,0
55,Male,Other,7,Punjab,Employed(Private),50-100,0
67,Female,Single,3,Gujarat,Employed(Government),1000+,2
52,Female,Other,8,Mizoram,Employed(Private),100-500,2
58,Male,Married,9,Haryana,Retired,50-100,2
33,Male,Single,10,Kerala,Student,100-500,0
78,Female,Single,9,Gujarat,Employed(Government),10-50,1
76,Female,Married,8,Manipur,Student,500-1000,1
76,Male,Single,10,Punjab,Student,1000+,2
60,Male,Other,4,Punjab,Unemployed,100-500,0
38,Male,Married,8,Sikkim,Unemployed,50-100,0
73,Female,Married,8,Delhi,Employed(Government),10-50,1
36,Female,Single,2,Chhattisgarh,Unemployed,10-50,3
67,Female,Other,3,Jammu and Kashmir,Employed(Government),100-500,0
75,Male,Single,4,Uttarakhand,Unemployed,0-10,1
19,Female,Married,8,Tamil Nadu,Employed(Government),50-100,3
46,Female,Other,5,Telangana,Employed(Private),1000+,1
53,Female,Other,6,Andaman and Nicobar Islands,Student,1000+,2
48,Male,Married,1,Andaman and Nicobar Islands,Unemployed,100-500,2
28,Male,Other,1,Chandigarh,Student,500-1000,1
38,Male,Single,2,Haryana,Employed(Private),0-10,0
57,Male,Single,2,Kerala,Unemployed,10-50,1
51,Male,Other,2,Meghalaya,Student,10-50,3
29,Female,Single,3,Uttarakhand,Employed(Government),100-500,1
30,Male,Single,2,Haryana,Employed(Private),100-500,0
35,Female,Other,10,Himachal Pradesh,Employed(Government),10-50,3
21,Female,Other,3,Rajasthan,Employed(Government),1000+,0
60,Female,Single,4,Chandigarh,Employed(Government),0-10,2
36,Male,Married,4,Delhi,Employed(Government),100-500,1
59,Female,Other,10,Chandigarh,Unemployed,500-1000,1
22,Female,Other,4,Delhi,Employed(Private),100-500,1
37,Male,Married,8,Telangana,Employed(Government),100-500,0
39,Male,Other,10,Uttarakhand,Employed(Government),1000+,1
76,Female,Married,10,Punjab,Employed(Private),500-1000,2
73,Male,Married,10,Chandigarh,Employed(Private),1000+,0
66,Male,Single,10,Ladakh,Unemployed,1000+,0
68,Male,Married,6,Odisha,Employed(Government),1000+,3
76,Male,Single,3,Manipur,Unemployed,1000+,2
53,Female,Married,6,Tripura,Retired,1000+,1
58,Male,Married,9,Dadra and Nagar Haveli and Daman and Diu,Unemployed,1000+,1
40,Male,Single,1,Haryana,Unemployed,50-100,2
35,Female,Married,8,Punjab,Employed(Private),10-50,1
69,Female,Married,10,Gujarat,Student,1000+,0
76,Female,Other,6,Manipur,Student,100-500,2
71,Female,Married,4,Assam,Student,50-100,2
19,Female,Single,1,Dadra and Nagar Haveli and Daman and Diu,Retired,500-1000,0
41,Female,Other,7,Punjab,Student,10-50,0
31,Male,Other,9,Haryana,Employed(Private),1000+,2
54,Male,Other,9,Jharkhand,Employed(Private),500-1000,3
44,Female,Other,1,Nagaland,Retired,0-10,1
51,Female,Single,1,Ladakh,Employed(Private),1000+,1
80,Female,Other,6,Uttar Pradesh,Retired,50-100,1
73,Female,Single,3,Manipur,Student,500-1000,1
48,Male,Single,4,Rajasthan,Employed(Private),1000+,2
75,Female,Single,10,Odisha,Unemployed,50-100,0
31,Female,Married,6,Sikkim,Retired,100-500,1
20,Male,Other,10,Nagaland,Employed(Government),10-50,0
79,Male,Married,7,Ladakh,Student,10-50,3
50,Female,Single,3,Uttar Pradesh,Unemployed,10-50,3
55,Female,Other,7,Karnataka,Employed(Government),50-100,1
39,Female,Married,8,Madhya Pradesh,Employed(Private),500-1000,1
45,Male,Married,4,Jharkhand,Student,0-10,0
41,Female,Married,1,Madhya Pradesh,Unemployed,500-1000,2
39,Female,Married,5,Punjab,Student,0-10,2
65,Male,Married,1,Uttarakhand,Student,500-1000,0
20,Male,Other,2,Nagaland,Retired,10-50,3
77,Male,Married,6,Sikkim,Employed(Private),100-500,1
61,Male,Married,9,Andaman and Nicobar Islands,Employed(Government),100-500,1
76,Female,Married,7,Andhra Pradesh,Retired,500-1000,1
49,Female,Other,5,Kerala,Student,100-500,0
44,Female,Married,6,Delhi,Unemployed,1000+,2
56,Male,Married,7,Mizoram,Employed(Private),0-10,1
78,Male,Other,4,Kerala,Employed(Government),1000+,1
49,Male,Single,1,Goa,Employed(Government),100-500,0
74,Female,Other,6,West Bengal,Employed(Private),0-10,2
80,Male,Other,2,Maharashtra,Student,50-100,1
48,Female,Other,4,Odisha,Unemployed,100-500,1
23,Female,Other,3,Andhra Pradesh,Student,100-500,3
40,Female,Other,4,Sikkim,Unemployed,0-10,1
35,Female,Single,3,Jammu and Kashmir,Employed(Private),100-500,2
21,Male,Single,2,Andhra Pradesh,Unemployed,1000+,2
47,Male,Married,7,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),500-1000,3
43,Female,Married,6,Mizoram,Employed(Private),10-50,0
70,Male,Married,10,Manipur,Unemployed,100-500,3
36,Female,Married,6,Uttar Pradesh,Employed(Government),10-50,1
19,Male,Single,3,Karnataka,Employed(Private),100-500,1
50,Female,Married,3,Jharkhand,Employed(Private),1000+,3
23,Female,Single,10,West Bengal,Employed(Private),10-50,2
56,Female,Single,4,Uttar Pradesh,Employed(Government),0-10,3
79,Female,Single,1,Arunachal Pradesh,Unemployed,1000+,2
27,Female,Single,2,Himachal Pradesh,Unemployed,50-100,0
55,Female,Single,8,Sikkim,Employed(Government),0-10,0
57,Male,Married,4,Bihar,Unemployed,10-50,0
59,Female,Single,2,Punjab,Student,1000+,0
73,Male,Married,2,Uttar Pradesh,Employed(Private),0-10,1
40,Female,Single,2,Uttar Pradesh,Employed(Private),1000+,3
71,Female,Married,4,Gujarat,Employed(Private),1000+,2
20,Male,Other,7,Maharashtra,Student,100-500,1
62,Female,Married,3,Himachal Pradesh,Employed(Government),50-100,0
26,Female,Married,4,Madhya Pradesh,Retired,500-1000,1
77,Female,Married,3,Kerala,Retired,1000+,1
32,Male,Other,5,Jammu and Kashmir,Unemployed,0-10,0
56,Female,Single,10,Meghalaya,Employed(Private),100-500,1
67,Female,Married,5,Nagaland,Unemployed,1000+,0
66,Female,Single,2,Madhya Pradesh,Employed(Government),100-500,0
58,Female,Other,3,Delhi,Retired,100-500,0
45,Male,Single,5,Tripura,Employed(Government),0-10,3
73,Male,Married,4,Andaman and Nicobar Islands,Employed(Private),100-500,0
28,Male,Other,9,Jammu and Kashmir,Unemployed,0-10,2
23,Male,Single,10,Mizoram,Student,0-10,0
31,Female,Married,9,Kerala,Student,100-500,2
48,Female,Single,2,Punjab,Employed(Government),10-50,2
60,Female,Married,3,Andaman and Nicobar Islands,Student,500-1000,3
61,Male,Other,7,Chandigarh,Student,10-50,0
43,Male,Other,7,Odisha,Retired,0-10,2
21,Female,Other,4,Andaman and Nicobar Islands,Unemployed,100-500,0
18,Female,Single,5,Jharkhand,Retired,0-10,0
22,Male,Married,7,Rajasthan,Employed(Government),1000+,2
32,Female,Single,4,Haryana,Employed(Private),500-1000,2
25,Male,Married,3,Tamil Nadu,Employed(Private),1000+,0
38,Female,Other,6,Uttarakhand,Employed(Government),50-100,3
70,Male,Other,1,Manipur,Retired,500-1000,1
64,Male,Married,2,Kerala,Unemployed,0-10,0
67,Female,Single,10,Ladakh,Retired,1000+,0
74,Male,Single,1,Uttarakhand,Unemployed,1000+,3
56,Male,Married,9,Rajasthan,Unemployed,1000+,1
35,Male,Other,7,Telangana,Employed(Government),10-50,0
41,Male,Single,9,Jharkhand,Student,50-100,0
59,Female,Other,10,Gujarat,Retired,10-50,2
69,Male,Married,6,Telangana,Employed(Private),500-1000,2
33,Male,Married,1,Goa,Employed(Private),1000+,2
21,Male,Single,6,Chandigarh,Retired,500-1000,3
47,Female,Single,1,Chandigarh,Student,0-10,0
56,Male,Other,1,Manipur,Retired,1000+,3
47,Male,Other,2,Tamil Nadu,Student,10-50,2
75,Male,Single,6,Tripura,Employed(Government),50-100,3
23,Male,Married,5,Arunachal Pradesh,Unemployed,10-50,0
57,Female,Other,3,Meghalaya,Retired,50-100,0
26,Male,Married,7,Assam,Unemployed,100-500,0
52,Male,Other,7,Nagaland,Employed(Private),10-50,1
80,Male,Single,4,Chhattisgarh,Unemployed,500-1000,0
78,Male,Other,1,Delhi,Unemployed,500-1000,0
45,Male,Single,2,Mizoram,Employed(Private),0-10,1
31,Female,Other,1,Uttar Pradesh,Employed(Private),10-50,2
20,Female,Other,5,Ladakh,Employed(Private),500-1000,1
20,Female,Single,4,Jammu and Kashmir,Employed(Government),0-10,2
32,Female,Married,6,Tripura,Retired,100-500,0
70,Female,Single,5,Meghalaya,Employed(Government),100-500,2
22,Male,Single,10,Bihar,Employed(Government),100-500,1
53,Male,Single,1,Andaman and Nicobar Islands,Employed(Government),100-500,2
69,Male,Married,3,Maharashtra,Student,10-50,3
36,Female,Single,2,Gujarat,Retired,100-500,0
44,Female,Other,4,Andaman and Nicobar Islands,Retired,100-500,3
46,Female,Married,6,Himachal Pradesh,Student,0-10,0
75,Male,Married,8,Haryana,Student,0-10,2
48,Female,Single,9,Tripura,Retired,0-10,1
29,Male,Married,3,Kerala,Unemployed,500-1000,3
62,Male,Married,9,Andhra Pradesh,Employed(Government),0-10,2
80,Female,Married,10,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),1000+,1
19,Male,Other,9,Arunachal Pradesh,Retired,500-1000,3
77,Male,Married,2,Uttar Pradesh,Employed(Private),500-1000,0
29,Female,Married,5,Arunachal Pradesh,Student,500-1000,0
67,Female,Single,1,Chandigarh,Employed(Government),0-10,3
32,Male,Other,1,Madhya Pradesh,Employed(Government),50-100,0
75,Female,Other,2,Manipur,Employed(Private),500-1000,2
18,Male,Married,6,Tamil Nadu,Unemployed,100-500,1
48,Female,Married,5,Delhi,Employed(Private),500-1000,2
50,Female,Single,10,Ladakh,Student,0-10,0
58,Female,Married,5,West Bengal,Employed(Private),500-1000,1
20,Male,Other,1,Uttar Pradesh,Retired,100-500,1
18,Female,Single,1,Gujarat,Student,500-1000,1
44,Female,Single,5,Telangana,Employed(Private),10-50,1
68,Female,Married,9,Tripura,Student,1000+,2
43,Male,Other,5,Telangana,Employed(Government),1000+,0
50,Female,Married,10,Tamil Nadu,Student,100-500,0
40,Male,Married,6,Haryana,Unemployed,50-100,0
41,Male,Married,9,Goa,Employed(Private),50-100,1
64,Male,Single,3,Bihar,Student,0-10,0
34,Male,Single,2,Maharashtra,Employed(Government),50-100,1
28,Female,Married,3,Goa,Unemployed,100-500,1
79,Female,Single,8,Ladakh,Student,500-1000,0
32,Male,Other,1,Jammu and Kashmir,Employed(Government),0-10,1
63,Female,Other,10,Odisha,Unemployed,10-50,2
65,Male,Single,2,Lakshadweep,Student,10-50,1
63,Female,Other,4,Chandigarh,Student,50-100,3
69,Female,Other,1,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),1000+,0
49,Female,Other,7,Goa,Unemployed,50-100,0
20,Female,Single,10,Dadra and Nagar Haveli and Daman and Diu,Student,100-500,2
28,Female,Other,5,Meghalaya,Employed(Government),1000+,0
75,Male,Married,3,Jammu and Kashmir,Employed(Private),50-100,3
33,Male,Married,7,Assam,Unemployed,1000+,2
24,Female,Other,2,Andaman and Nicobar Islands,Student,500-1000,0
74,Male,Single,9,Jharkhand,Unemployed,1000+,0
28,Female,Single,5,Andaman and Nicobar Islands,Unemployed,100-500,0
36,Female,Other,1,Uttar Pradesh,Student,100-500,2
56,Male,Married,5,Mizoram,Unemployed,500-1000,0
71,Male,Married,3,Kerala,Employed(Private),1000+,0
60,Male,Married,4,Goa,Employed(Private),50-100,0
71,Female,Other,5,Tamil Nadu,Student,50-100,1
64,Male,Other,1,Himachal Pradesh,Employed(Government),1000+,3
24,Female,Other,7,Arunachal Pradesh,Unemployed,1000+,0
30,Male,Married,2,Kerala,Retired,10-50,0
34,Female,Other,7,Punjab,Unemployed,50-100,1
45,Female,Other,7,Dadra and Nagar Haveli and Daman and Diu,Unemployed,500-1000,2
36,Female,Married,7,Himachal Pradesh,Student,50-100,2
24,Male,Single,1,Rajasthan,Unemployed,100-500,3
60,Female,Married,3,Punjab,Student,0-10,2
76,Male,Married,8,Sikkim,Employed(Private),1000+,1
60,Male,Married,5,West Bengal,Retired,0-10,1
68,Male,Single,10,Punjab,Employed(Private),500-1000,0
26,Male,Married,3,Meghalaya,Unemployed,500-1000,0
62,Male,Other,5,Sikkim,Retired,10-50,2
43,Female,Married,2,Jharkhand,Employed(Private),100-500,0
60,Male,Other,10,Ladakh,Student,1000+,2
76,Male,Single,4,Maharashtra,Employed(Private),500-1000,3
39,Male,Married,2,Uttar Pradesh,Employed(Private),0-10,1
45,Male,Other,8,Manipur,Unemployed,10-50,3
38,Male,Other,6,Madhya Pradesh,Student,10-50,3
62,Female,Other,9,Lakshadweep,Employed(Government),100-500,1
54,Male,Single,5,Lakshadweep,Retired,50-100,0
45,Female,Married,1,Sikkim,Retired,10-50,2
79,Female,Single,8,Manipur,Unemployed,100-500,0
58,Female,Married,10,Goa,Employed(Private),100-500,2
54,Male,Other,8,Arunachal Pradesh,Unemployed,50-100,0
75,Male,Married,2,Maharashtra,Employed(Private),0-10,0
50,Male,Other,3,Nagaland,Unemployed,0-10,2
57,Male,Single,7,Goa,Student,1000+,0
56,Female,Married,4,Puducherry,Student,1000+,0
35,Female,Single,4,West Bengal,Retired,1000+,3
38,Male,Single,8,Ladakh,Unemployed,50-100,0
78,Female,Married,10,Meghalaya,Student,50-100,0
28,Female,Married,1,Manipur,Student,500-1000,2
38,Female,Single,6,Jammu and Kashmir,Employed(Private),1000+,0
65,Female,Single,2,Andaman and Nicobar Islands,Employed(Private),500-1000,0
40,Female,Single,1,Mizoram,Employed(Private),1000+,2
52,Female,Married,8,Gujarat,Employed(Private),500-1000,0
28,Female,Other,10,Sikkim,Unemployed,50-100,2
35,Female,Married,8,Tamil Nadu,Employed(Private),0-10,2
35,Male,Other,4,Rajasthan,Unemployed,100-500,0
29,Female,Single,5,Kerala,Student,1000+,3
59,Male,Single,10,Chhattisgarh,Retired,100-500,0
20,Male,Married,9,Tripura,Unemployed,1000+,2
21,Male,Single,5,Bihar,Retired,100-500,2
62,Female,Married,2,Jammu and Kashmir,Employed(Private),0-10,3
35,Female,Married,10,Assam,Retired,500-1000,1
46,Female,Single,10,Andhra Pradesh,Retired,100-500,3
40,Female,Married,1,Delhi,Employed(Government),0-10,2
71,Male,Single,8,Tamil Nadu,Student,0-10,0
66,Female,Single,6,Chhattisgarh,Unemployed,100-500,0
80,Female,Single,2,Maharashtra,Employed(Government),1000+,1
20,Female,Married,7,Chandigarh,Student,50-100,2
72,Male,Single,4,Chhattisgarh,Unemployed,500-1000,1
59,Female,Married,5,Uttarakhand,Student,50-100,0
45,Male,Other,2,Lakshadweep,Unemployed,10-50,1
31,Male,Single,1,Haryana,Employed(Government),1000+,1
19,Female,Married,2,Arunachal Pradesh,Employed(Government),500-1000,1
25,Female,Single,2,Uttarakhand,Student,1000+,0
77,Female,Single,6,Maharashtra,Student,1000+,2
50,Male,Married,1,Andaman and Nicobar Islands,Retired,50-100,0
41,Female,Single,10,Madhya Pradesh,Unemployed,1000+,0
47,Female,Married,7,Tripura,Employed(Private),0-10,2
26,Male,Other,8,Uttar Pradesh,Student,10-50,1
51,Male,Single,6,Haryana,Employed(Private),50-100,0
67,Male,Married,6,Karnataka,Employed(Government),50-100,1
68,Male,Other,5,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),50-100,0
32,Male,Other,1,Punjab,Student,100-500,0
66,Female,Single,9,Jharkhand,Unemployed,10-50,0
43,Female,Other,3,Madhya Pradesh,Employed(Private),0-10,0
19,Male,Married,9,Madhya Pradesh,Employed(Government),500-1000,1
42,Female,Single,5,Chandigarh,Student,100-500,0
30,Male,Other,1,Goa,Student,100-500,1
55,Male,Married,8,Tripura,Student,0-10,0
80,Female,Other,7,Odisha,Retired,100-500,1
38,Male,Married,6,Nagaland,Employed(Private),50-100,3
42,Female,Other,6,Delhi,Employed(Government),0-10,3
42,Female,Single,9,Rajasthan,Employed(Private),100-500,0
21,Male,Single,4,Himachal Pradesh,Employed(Government),10-50,0
63,Male,Married,1,Punjab,Retired,10-50,3
75,Male,Single,4,Rajasthan,Unemployed,10-50,3
47,Male,Other,4,Ladakh,Employed(Government),50-100,0
44,Female,Other,2,Punjab,Employed(Government),100-500,2
65,Male,Single,7,Uttarakhand,Retired,500-1000,2
78,Male,Married,3,Sikkim,Employed(Private),0-10,0
62,Male,Married,6,Gujarat,Unemployed,0-10,0
36,Female,Other,9,Himachal Pradesh,Employed(Government),1000+,0
59,Male,Other,5,Tripura,Unemployed,1000+,3
53,Male,Single,8,Meghalaya,Employed(Government),100-500,3
53,Male,Other,2,Nagaland,Employed(Government),10-50,1
62,Male,Other,4,Manipur,Employed(Government),50-100,3
52,Male,Other,5,Haryana,Retired,500-1000,2
